source,target,pct,value_idr
"UBS AG, LONDON",BTPN,3.76,772000700590.0
BARCLAYS CAPITAL SECURITIES LIMITED,BTPN,1.88,386014089000.0
GOVERNMENT OF NORWAY,BTPS,2.68,219783411000.0
UOB KAY HIAN PRIVATE LIMITED,BUDI,7.73,73725691976.0
MAYBANK SECURITIES PTE. LTD.,BUDI,4.92,46926009200.0
BONHAM NOMINEES PTE LTD,BUDI,4.81,45846519192.0
DBS VICKERS SECS SINGAPORE (PTE) LTD A/C CLIENTS,BUDI,4.63,44165281600.0
CGS INTERNATIONAL SECURITIES SINGAPORE PTE LTD,BUDI,4.53,43183890988.0
PHILLIP SECURITIES PTE LTD,BUDI,4.16,39724870792.0
EMPLOYEES PROVIDENT FUND BOARD,BUKA,2.23,319924373800.0
PT. KB VALBURY SEKURITAS,BULL,6.84,351920000000.0
PT DANATAMA KAPITAL INVESTAMA,BULL,5.37,276135520008.0
INTERVENTURES CAPITAL PTE. LTD,BULL,4.98,255972000000.0
KINGSWOOD UNION CORPORATION,BULL,3.75,193157766000.0
PT DANATAMA MAKMUR SEKURITAS,BULL,1.31,67431887208.0
UBS AG SINGAPORE BRANCH,BULL,1.27,65559409200.0
"UBS AG, LONDON",BULL,1.05,53792171184.0
UBS SWITZERLAND AG,BUMI,5.1,4092925741128.0
GLAS TRUST (SINGAPORE) LTD.,BUMI,2.08,1666794143664.0
PT BAKRIE CAPITAL INDONESIA,BUMI,1.18,948271094712.0
BANK OF SINGAPORE LIMITED,BUMI,1.03,827088019416.0
PT TIRTA ORISA YASA,BUVA,2.88,674334772200.0
FERRY SUDJONO,BUVA,1.2,279541381700.0
PT. Victoria Investama Tbk,BVIC,40.07,767627702400.0
SUZANNA TANOJO,BVIC,6.32,121013121112.0
PT. BINTANG MITRA SEMESTARAYA TBK,BVIC,4.62,88419344000.0
UBS AG HONG KONG,BWPT,3.37,134761986000.0
