investor,stock,company,sector,pct,shares,value_idr,type,lf
TOLARAM PTE. LTD.,AMAR,BANK AMAR INDONESIA Tbk,BANK,75.25,13832054873,2738746864854.0,Corporation,Foreign
JAGAT RAYA IMAJINASI PT,AMAR,BANK AMAR INDONESIA Tbk,BANK,6.59,1210726588,239723864424.0,Corporation,Local
BANK OF SINGAPORE LIMITED,AMAR,BANK AMAR INDONESIA Tbk,BANK,5.91,1086653690,215157430620.0,Insurance/Pension,Foreign
"SBI HOLDINGS, INC.",AMAR,BANK AMAR INDONESIA Tbk,BANK,5.63,1035714286,205071428628.0,Corporation,Foreign
PT BANK AMAR INDONESIA TBK,AMAR,BANK AMAR INDONESIA Tbk,BANK,2.0,367421455,72749448090.0,Insurance/Pension,Local
PT. MARVEL INVESTAMA ASIA,AMAR,BANK AMAR INDONESIA Tbk,BANK,1.0,183811000,36394578000.0,Corporation,Local
AGC Inc.,AMFG,ASAHIMAS FLAT GLASS Tbk,"CERAMICS, GLASS, PORCELAIN",44.53,193240400,616436876000.0,Corporation,Foreign
PT. RODAMAS,AMFG,ASAHIMAS FLAT GLASS Tbk,"CERAMICS, GLASS, PORCELAIN",41.63,180677700,576361863000.0,Corporation,Local
DBS VICKERS SECS SINGAPORE (PTE) LTD A/C CLIENTS,AMFG,ASAHIMAS FLAT GLASS Tbk,"CERAMICS, GLASS, PORCELAIN",1.9,8265400,26366626000.0,Securities Co,Foreign
ANDY TANUJAYA,AMFG,ASAHIMAS FLAT GLASS Tbk,"CERAMICS, GLASS, PORCELAIN",1.74,7530600,24022614000.0,Individual,Local
LIEM TJEN HUNG,AMFG,ASAHIMAS FLAT GLASS Tbk,"CERAMICS, GLASS, PORCELAIN",1.5,6521700,20804223000.0,Individual,Local
SPHERE CORPORATION SDN.BHD.,AMIN,ATELIERS MECANIQUES D`INDONESIE Tbk,MACHINERY AND HEAVY EQUIPMENT,58.39,630638300,145046809000.0,Corporation,Foreign
CHONG KIM KONG,AMIN,ATELIERS MECANIQUES D`INDONESIE Tbk,MACHINERY AND HEAVY EQUIPMENT,10.11,109200000,25116000000.0,Individual,Foreign
CHONG KIM LEONG,AMIN,ATELIERS MECANIQUES D`INDONESIE Tbk,MACHINERY AND HEAVY EQUIPMENT,7.0,75600000,17388000000.0,Individual,Foreign
RUDY SUSANTO,AMIN,ATELIERS MECANIQUES D`INDONESIE Tbk,MACHINERY AND HEAVY EQUIPMENT,3.89,42000000,9660000000.0,Individual,Local
LAI KIM TENG,AMIN,ATELIERS MECANIQUES D`INDONESIE Tbk,MACHINERY AND HEAVY EQUIPMENT,2.55,27555000,6337650000.0,Individual,Foreign
VICTORIA,AMIN,ATELIERS MECANIQUES D`INDONESIE Tbk,MACHINERY AND HEAVY EQUIPMENT,2.29,24775800,5698434000.0,Individual,Local
LIM PEEK CHIN,AMIN,ATELIERS MECANIQUES D`INDONESIE Tbk,MACHINERY AND HEAVY EQUIPMENT,1.85,20000000,4600000000.0,Individual,Foreign
JEF CHARLES H. BOEDT,AMIN,ATELIERS MECANIQUES D`INDONESIE Tbk,MACHINERY AND HEAVY EQUIPMENT,1.68,18152500,4175075000.0,Individual,Foreign
DONAL MANIK,AMIN,ATELIERS MECANIQUES D`INDONESIE Tbk,MACHINERY AND HEAVY EQUIPMENT,1.11,11998700,2759701000.0,Individual,Local
MAYBANK SECURITIES PTE. LTD.,AMIN,ATELIERS MECANIQUES D`INDONESIE Tbk,MACHINERY AND HEAVY EQUIPMENT,1.1,11901000,2737230000.0,Securities Co,Foreign
PT SUMBER GEMILANG PERSADA,AMMN,AMMAN MINERAL INTERNASIONAL Tbk,LAND/STONE QUARRYING,32.17,23332191394,114794381658480.0,Corporation,Local
PT MEDCO ENERGI INTERNASIONAL TBK,AMMN,AMMAN MINERAL INTERNASIONAL Tbk,LAND/STONE QUARRYING,20.92,15167510552,74624151915840.0,Corporation,Local
PT AP INVESTMENT,AMMN,AMMAN MINERAL INTERNASIONAL Tbk,LAND/STONE QUARRYING,15.19,11014682720,54192238982400.0,Corporation,Local
PT PESONA SUKSES CEMERLANG,AMMN,AMMAN MINERAL INTERNASIONAL Tbk,LAND/STONE QUARRYING,6.26,4539377112,22333735391040.0,Corporation,Local
SAJIR 9 LLC,AMMN,AMMAN MINERAL INTERNASIONAL Tbk,LAND/STONE QUARRYING,5.34,3871783968,19049177122560.0,Corporation,Foreign
PT KEMILAU INVESTAMA MAKMUR,AMMN,AMMAN MINERAL INTERNASIONAL Tbk,LAND/STONE QUARRYING,3.94,2856070404,14051866387680.0,Corporation,Local
"KEMILAU SINAR LESTARI, PT",AMMN,AMMAN MINERAL INTERNASIONAL Tbk,LAND/STONE QUARRYING,2.63,1907770954,9386233093680.0,Corporation,Local
21 INTERNATIONAL VENTURE SPC,AMMN,AMMAN MINERAL INTERNASIONAL Tbk,LAND/STONE QUARRYING,1.93,1402291900,6899276148000.0,Corporation,Foreign
RADIANT RUBY COMPANY LTD,AMMS,AGUNG MENJANGAN MAS Tbk,FISHERY,51.0,630001529,252000611600.0,Corporation,Foreign
PT MANDARA MAS SEMESTA,AMMS,AGUNG MENJANGAN MAS Tbk,FISHERY,24.1,297706588,119082635200.0,Corporation,Local
PT. SURYA KARYA DIGITAL,AMMS,AGUNG MENJANGAN MAS Tbk,FISHERY,4.9,60529543,24211817200.0,Corporation,Local
ABRAHAM TEDJANEGARA,AMMS,AGUNG MENJANGAN MAS Tbk,FISHERY,3.04,37607200,15042880000.0,Individual,Local
DIAZ KURNIAWAN,AMMS,AGUNG MENJANGAN MAS Tbk,FISHERY,1.01,12523800,5009520000.0,Individual,Local
ASHMORE INVESTMENT MANAGEMENT LIMITED,AMOR,ASHMORE ASSET MANAGEMENT INDONESIA Tbk,FINANCIAL INSTITUTION,60.04,1334120000,440259600000.0,Corporation,Foreign
PT ADIKARSA SARANA,AMOR,ASHMORE ASSET MANAGEMENT INDONESIA Tbk,FINANCIAL INSTITUTION,13.05,289921600,95674128000.0,Corporation,Local
RONALDUS GANDAHUSADA IR,AMOR,ASHMORE ASSET MANAGEMENT INDONESIA Tbk,FINANCIAL INSTITUTION,6.3,140000000,46200000000.0,Individual,Local
FX EDDY HARTANTO SH,AMOR,ASHMORE ASSET MANAGEMENT INDONESIA Tbk,FINANCIAL INSTITUTION,5.63,125200000,41316000000.0,Individual,Local
